Date,StockPrice,LogPrice,Returns,LogReturns,Volatility
1996-01-03,621.3199999,6.431846247,0.000950493,0.000950042,0.001055025
1996-01-04,617.7000002,6.426002903,-0.005826305,-0.005843344,0.017862665
1996-01-05,616.7099999,6.424398897,-0.00160272,-0.001604006,0.015861755
1996-01-08,618.4599999,6.427232517,0.002837638,0.00283362,0.011159618
1996-01-09,609.4499999,6.412556911,-0.014568444,-0.014675606,0.032169168
1996-01-10,598.4800003,6.394393108,-0.017999835,-0.018163803,0.044074579
1996-01-11,602.6899998,6.401402968,0.007034487,0.00700986,0.026966803
1996-01-12,601.8100001,6.399941781,-0.00146012,-0.001461187,0.022364711
1996-01-15,599.8199999,6.39662961,-0.003306692,-0.003312171,0.029968167
1996-01-16,608.4399997,6.410898304,0.014370978,0.014268694,0.020964075
1996-01-17,606.3700001,6.407490361,-0.003402143,-0.003407943,0.022564802
1996-01-18,608.24,6.410569541,0.003083926,0.00307918,0.015861755
1996-01-19,611.8299999,6.416454466,0.005902275,0.005884925,0.007057754
1996-01-22,613.4000002,6.419017252,0.002566073,0.002562786,0.013460664
1996-01-23,612.7900001,6.4180223,-0.000994457,-0.000994952,0.015661664
1996-01-24,619.9600001,6.42965496,0.011700583,0.01163266,0.005457026
1996-01-25,617.0299999,6.424917645,-0.004726112,-0.004737315,0.009458845
1996-01-26,621.6200003,6.432328974,0.007438861,0.007411329,5.46E-05
1996-01-29,624.2199998,6.43650287,0.004182619,0.004173896,0.001955434
1996-01-30,630.1499998,6.445957886,0.009499856,0.009455016,0.00425648
1996-01-31,636.0199998,6.455230009,0.009315242,0.009272123,0.00535698
1996-02-01,638.4600002,6.459059027,0.003836358,0.003829018,0.006557526
1996-02-02,635.8399998,6.454946959,-0.004103625,-0.004112068,0.012360164
1996-02-05,641.4300001,6.463700059,0.00879152,0.0087531,0.01466121
1996-02-06,646.3299998,6.471310209,0.007639181,0.00761015,0.025966348
1996-02-07,649.9300001,6.476864665,0.005569911,0.005554456,0.021164166
1996-02-08,656.0700003,6.486267491,0.009447171,0.009402826,0.018963165
1996-02-09,656.3699998,6.486724654,0.000457268,0.000457163,0.02636653
1996-02-12,661.4500001,6.494434395,0.007739538,0.007709741,0.026966803
1996-02-13,660.5100001,6.493012264,-0.00142112,-0.001422131,0.02946794
1996-02-14,655.58,6.48552034,-0.007463929,-0.007491924,0.035970896
1996-02-15,651.3200001,6.479001073,-0.006498063,-0.006519267,0.041373342
1996-02-16,647.9800002,6.473859832,-0.005128047,-0.005141241,0.033769895
1996-02-20,640.65,6.462483286,-0.011312078,-0.011376546,0.048076388
1996-02-21,648.0999997,6.474045005,0.011628814,0.011561719,0.024765803
1996-02-22,658.8600001,6.490511069,0.016602377,0.016466064,0.025666212
1996-02-23,659.0799999,6.490844923,0.00033391,0.000333854,0.027867212
1996-02-26,650.4600001,6.477679805,-0.013078837,-0.013165118,0.043874478
1996-02-27,647.2400003,6.472717169,-0.004950342,-0.004962636,0.046375615
1996-02-28,644.7500002,6.468862645,-0.003847105,-0.003854524,0.047276025
1996-02-29,640.4300002,6.462139826,-0.006700271,-0.006722819,0.0504775
